time;distance;;f';;f''
2,235828;0,2548743;2,241326;0,015378319;2,2468485;-0,035150263
2,246824;0,2550434;2,252371;0,014990085;2,25792225;1,630555839
2,257918;0,2552097;2,2634735;0,033093331;2,26904725;-1,162361291
2,269029;0,2555774;2,274621;0,020135908;2,28021425;0,424232037
2,280213;0,2558026;2,2858075;0,02488158;2,29142175;-0,820924732
2,291402;0,256081;2,297036;0,015663827;2,3025845;2,241372315
2,30267;0,2562575;2,308133;0,040536335;2,31379825;-0,927276823
2,313596;0,2567004;2,3194635;0,030029825;2,32505575;-1,18666505
2,325331;0,2570528;2,330648;0,01675757;2,33608225;-0,571456132
2,335965;0,257231;2,3415165;0,010546699;2,347051;0,775439668
2,347068;0,2573481;2,3525855;0,019130041;2,35812675;-0,768696541
2,358103;0,2575592;2,363668;0,010610961;2,369158;1,63298071
2,369233;0,2576773;2,374648;0,02854109;2,38015925;-1,103310605
2,380063;0,2579864;2,3856705;0,016379848;2,391245;0,375206389
2,391278;0,2581701;2,3968195;0,020563024;2,402297;0,450756523
2,402361;0,258398;2,4077745;0,025501062;2,41327825;-0,224161229
2,413188;0,2586741;2,418782;0,023033607;2,42432975;1,025207531
2,424376;0,2589318;2,4298775;0,034408798;2,43536525;-1,97493311
2,435379;0,2593104;2,440853;0,012732919;2,4463635;-0,673599775
2,446327;0,2594498;2,451874;0,005309176;2,45742425;1,495061372
2,457421;0,2595087;2,4629745;0,021905105;2,46862525;0,799548029
2,468528;0,259752;2,474276;0,030941197;2,47982025;-1,321241597
2,480024;0,2601077;2,4853645;0,016290609;2,4908995;0,052233715
2,490705;0,2602817;2,4964345;0,016868837;2,5020175;1,293038715
2,502164;0,260475;2,5076005;0,031306907;2,51307375;-0,547972144
2,513037;0,2608154;2,518547;0,02530853;2,52410325;-0,261670729
2,524057;0,2610943;2,5296595;0,022400714;2,535294;1,940565722
2,535262;0,2613453;2,5409285;0,044268949;2,54665475;-2,677014634
2,546595;0,261847;2,552381;0,013610439;2,55796275;1,920815561
2,558167;0,2620045;2,5635445;0,035053464;2,56904425;-0,003566862
