time;distance traveled;distance to prev position;controller position;camera position;distance to prev target;distance to current target;;;;;;;;;
(1.61, 0.91, 4.55);(3.07, 1.98, 3.70);;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
0,5887184;-0,17701222;0,002909442;(0.1551762000, 1.2514220000);(-0.0966247300, 1.4561680000, -0.1088553000);1,49353;3,007081;;;0,1551762;1,251422;;;0,002909875;;-0,167262611
0,5997586;-0,17960965;0,00259743;(0.1572890000, 1.2529320000);(-0.0963425600, 1.4563350000, -0.1088844000);1,491813;3,004665;;;0,157289;1,252932;;;0,002596926;;-0,169859536
0,5997586;-0,17960965;0;(0.1572890000, 1.2529320000);(-0.0963425600, 1.4563350000, -0.1088844000);1,491813;3,004665;;;0,157289;1,252932;;;0;;-0,169859536
0,622063;-0,184564417;0,004954767;(0.1613281000, 1.2558020000);(-0.0960034100, 1.4566180000, -0.1090408000);1,488534;3,000051;;;0,1613281;1,255802;;;0,00495492;;-0,164904617
0,6332745;-0,186940158;0,002375741;(0.1632180000, 1.2572420000);(-0.0960034100, 1.4566180000, -0.1090408000);1,487025;2,997869;;;0,163218;1,257242;;;0,002375989;;-0,167280605
0,6443705;-0,188839755;0,001899597;(0.1646882000, 1.2584450000);(-0.0956819400, 1.4567920000, -0.1091184000);1,485872;2,996151;;;0,1646882;1,258445;;;0,001899657;;-0,169180263
0,6443705;-0,188839755;0;(0.1646882000, 1.2584450000);(-0.0956819400, 1.4567920000, -0.1091184000);1,485872;2,996151;;;0,1646882;1,258445;;;0;;-0,169180263
0,6666042;-0,191799125;0,00295937;(0.1671070000, 1.2601500000);(-0.0954578500, 1.4568910000, -0.1091910000);1,483915;2,993392;;;0,167107;1,26015;;;0,002959327;;-0,166220935
0,6776648;-0,192903684;0,001104559;(0.1680046000, 1.2607930000);(-0.0954578500, 1.4568910000, -0.1091910000);1,483192;2,992366;;;0,1680046;1,260793;;;0,001104144;;-0,167325079
0,6889201;-0,194160296;0,001256612;(0.1690677000, 1.2614640000);(-0.0951015400, 1.4570810000, -0.1092978000);1,482315;2,991173;;;0,1690677;1,261464;;;0,001257149;;-0,168582228
0,6889201;-0,194160296;0;(0.1690677000, 1.2614640000);(-0.0951015400, 1.4570810000, -0.1092978000);1,482315;2,991173;;;0,1690677;1,261464;;;0;;-0,168582228
0,7110981;-0,195625392;0,001465096;(0.1703821000, 1.2621110000);(-0.0946838000, 1.4571680000, -0.1094100000);1,481188;2,989741;;;0,1703821;1,262111;;;0,001465011;;-0,167117217
0,7110981;-0,195625392;0;(0.1703821000, 1.2621110000);(-0.0946838000, 1.4571680000, -0.1094100000);1,481188;2,989741;;;0,1703821;1,262111;;;0;;-0,167117217
0,7332675;-0,196643162;0,00101777;(0.1713432000, 1.2624460000);(-0.0942748200, 1.4573370000, -0.1095645000);1,480333;2,988728;;;0,1713432;1,262446;;;0,00101781;;-0,166099407
